"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
29,224,"SYR","Syria",8,"Hamah",29,"Muhardeh","Mantika","District",NA,NA
30,224,"SYR","Syria",8,"Hamah",30,"Salamiyah","Mantika","District",NA,NA
31,224,"SYR","Syria",9,"Hims",31,"Al-Mukharram","Mantika","District",NA,NA
32,224,"SYR","Syria",9,"Hims",32,"Al-Qusayr","Mantika","District",NA,NA
33,224,"SYR","Syria",9,"Hims",33,"Ar-Rastan","Mantika","District",NA,NA
34,224,"SYR","Syria",9,"Hims",34,"Hims","Mantika","District",NA,NA
35,224,"SYR","Syria",9,"Hims",35,"Palmyra","Mantika","District",NA,NA
36,224,"SYR","Syria",9,"Hims",36,"Talkalakh","Mantika","District",NA,NA
37,224,"SYR","Syria",10,"Idlib",37,"Arihah","Mantika","District",NA,NA
38,224,"SYR","Syria",10,"Idlib",38,"Harem","Mantika","District",NA,NA
39,224,"SYR","Syria",10,"Idlib",39,"Idlib","Mantika","District",NA,NA
40,224,"SYR","Syria",10,"Idlib",40,"Jisr ash-Shugur","Mantika","District",NA,NA
41,224,"SYR","Syria",10,"Idlib",41,"Ma'arrat al-Numan","Mantika","District",NA,NA
42,224,"SYR","Syria",11,"Lattakia",42,"Al-Haffah","Mantika","District",NA,NA
43,224,"SYR","Syria",11,"Lattakia",43,"Jableh","Mantika","District",NA,NA
44,224,"SYR","Syria",11,"Lattakia",44,"Latakia","Mantika","District",NA,NA
45,224,"SYR","Syria",11,"Lattakia",45,"Qardaha","Mantika","District",NA,NA
46,224,"SYR","Syria",12,"Quneitra",46,"Quneitra","Mantika","District",NA,NA
47,224,"SYR","Syria",13,"Rif Dimashq",47,"Al-Qutayfah","Mantika","District",NA,NA
48,224,"SYR","Syria",13,"Rif Dimashq",48,"An-Nabk","Mantika","District",NA,NA
49,224,"SYR","Syria",13,"Rif Dimashq",49,"At-Tall","Mantika","District",NA,NA
50,224,"SYR","Syria",13,"Rif Dimashq",50,"Darayya","Mantika","District",NA,NA
51,224,"SYR","Syria",13,"Rif Dimashq",51,"Duma","Mantika","District",NA,NA
52,224,"SYR","Syria",13,"Rif Dimashq",52,"Markaz Rif Dimashq","Mantika","District",NA,NA
53,224,"SYR","Syria",13,"Rif Dimashq",53,"Qatana","Mantika","District",NA,NA
54,224,"SYR","Syria",13,"Rif Dimashq",54,"Yabrud","Mantika","District",NA,NA
55,224,"SYR","Syria",13,"Rif Dimashq",55,"Zabadani","Mantika","District",NA,NA
56,224,"SYR","Syria",14,"Tartus",56,"Ash-Shaykh Badr","Mantika","District",NA,NA
57,224,"SYR","Syria",14,"Tartus",57,"Baniyas","Mantika","District",NA,NA
58,224,"SYR","Syria",14,"Tartus",58,"Duraykish","Mantika","District",NA,NA
59,224,"SYR","Syria",14,"Tartus",59,"Safita","Mantika","District",NA,NA
60,224,"SYR","Syria",14,"Tartus",60,"Tartus","Mantika","District",NA,NA
